23	0	6143
23	0	6143
825	4	6411
1705	7	7089
2076	7	8214
2079	7	8603
2082	7	9860
2085	7	10668
2067	7	10540
1871	7	10929
2924	12	11941
3819	15	12732
4145	15	13254
4148	15	14423
4151	15	14925
4154	15	15736
4113	15	16728
3921	15	17117
5152	21	18395
5936	23	19176
6218	23	19842
6221	23	21205
6224	23	21059
6226	23	21246
6227	23	21901
6230	23	23050
6233	23	23439
6236	23	24383
6239	23	25242
6242	23	25696
6245	23	26864
6248	23	27435
6251	23	28266
6254	23	29494
6258	23	29883
6261	23	31076
6264	23	31644
6267	23	31564
6266	23	31953
6269	23	33030
6272	23	33756
6275	23	34343
6278	23	35511
6281	23	35949
6285	23	36946
6288	23	38008
6291	23	38397
6295	23	39562
6298	23	40201
6372	23	40946
6489	23	42229
5129	17	42035
4484	15	42271
4261	15	42989
4264	15	44074
4267	15	44463
4270	15	45471
4273	15	46266
4276	15	46881
4279	15	48633
4286	15	49889
4395	15	50640
4247	14	51203
2887	8	52371
2410	7	52656
2254	7	53775
2258	7	55527
2265	7	57280
2272	7	58470
2402	7	59132
2078	5	59783
738	0	60932
351	0	61126
239	0	62421
243	0	64022
251	0	65279
254	0	65279
254	0	65279
254	0	65280
254	208	65282
254	1766	65288
1212	2691	65292
1987	3867	65296
2265	5128	65300
2071	5128	65300
3241	5816	65304
4057	7035	65308
4640	8402	65313
5808	9187	65317
6250	10693	65322
7121	11773	65326
8053	12556	65330
8442	13335	65333
9796	14892	65339
10502	15927	65343
11172	16989	65347
12305	18517	65353
12694	19296	65356
13654	20079	65359
14497	20943	65362
14967	21978	65367
16136	23542	65372
17765	24492	65376
18871	25275	65379
19385	26179	65383
20554	27744	65389
21064	28644	65392
21867	29426	65395
22867	30210	65398
23256	30989	65401
24349	31774	65404
25059	32556	65408
25662	33550	65412
26830	35114	65417
27252	35925	65420
28269	36709	65423
29311	37493	65427
29713	38272	65430
30881	39057	65433
31504	39838	65436
32194	40619	65439
33307	41404	65442
33696	42183	65445
34676	43114	65448
36104	44008	65452
37681	44793	65455
38070	45572	65458
39094	46356	65461
39873	47138	65464
40407	47918	65467
41576	48703	65470
42066	49483	65473
42889	50266	65476
43869	51049	65479
44258	51828	65481
45371	51890	65482
46061	52370	65484
46742	53151	65487
48105	53937	65490
48510	54716	65493
49422	55500	65497
50313	56283	65499
50735	57030	65502
51903	57036	65502
53496	57608	65505
54607	58391	65507
54916	59094	65510
56279	59101	65510
56880	59713	65513
57635	60495	65516
58683	61279	65519
59072	62058	65521
60116	62188	65522
60875	62600	65524
61429	63216	65526
62598	63222	65526
63068	63921	65529
64025	64250	65530
65127	64516	65532
65516	65489	65534
65535	65535	65163
65532	64912	64024
65528	64002	63032
65525	63230	63218
65525	63230	62828
65523	62688	61894
65520	61909	61020
65517	61182	60576
65514	61182	59407
65511	60596	58822
65508	59817	58088
65505	59038	57013
65502	58259	56621
65499	58110	55443
65496	57725	54559
65492	56946	54026
65489	56167	52855
65486	55388	52358
65483	55038	51430
65480	54854	50435
65476	54075	50627
65477	53296	50279
65475	52517	49413
65472	51738	48470
65469	50959	48079
65465	50942	46735
65461	50424	46016
65458	49645	45351
65455	48866	44207
65452	48087	43815
65449	47308	42860
65446	46529	42006
65443	45750	41541
65440	44971	40369
65437	44192	39804
65434	43323	38959
65431	42378	37825
65428	41599	38017
65428	40820	37721
65427	40041	36822
65423	39422	35657
65419	39422	35267
65416	38728	34180
65413	37949	33457
65410	36965	32859
65407	35407	31684
65404	34588	31251
65401	33809	30365
65398	33030	29442
65394	32250	29044
65391	31471	27678
65387	30692	26984
65384	29913	26225
65381	29134	24955
65378	28355	25147
65377	27576	24902
65376	26797	24172
65373	26018	23093
65370	25239	22700
65367	23834	21679
65364	22657	20887
65361	21844	20358
65358	20870	19186
65355	20064	18685
65352	19285	17760
65349	18506	16619
65345	17727	16226
65341	16233	15653
65342	15145	17179
65347	14366	19197
65354	13587	19000
65354	12808	18613
65352	12542	17451
65348	12273	16497
65344	11494	16670
65345	10715	16278
65343	9936	15327
65339	9157	14469
65336	8378	13991
65333	7599	12624
65330	6820	12463
65328	6041	12386
65329	5262	11853
65325	4483	10487
65321	3704	10414
65320	2925	10304
65321	2146	9677
65316	1367	8116
65312	588	8109
65311	254	8191
65311	254	8191
65311	254	8191
65311	254	8191
65311	254	8191
65311	254	8191
65311	254	8191
